text,target
"An image forming apparatus of the present invention includes: a replaceable part used for image formation; an output unit configured to output information indicating that a usage amount of the replaceable part has reached a threshold; an input unit configured to input information; and a control unit configured to set the threshold in accordance with information about image quality input by the input unit.', 'An image forming system of the present invention includes an image forming apparatus and an input device connected to the image forming apparatus, in which the system includes: a replaceable part used for image formation; an output unit configured to output information indicating that a usage amount of the replaceable part has reached a threshold; and a control unit configured to set the threshold in accordance with information about image quality input by the input device.",0
"However, in the conventional aerial vehicle described above, the balloon has a problem that it is difficult to control the direction of movement of the balloon to be greatly affected by the wind because the balloon is not provided with the power source for horizontal movement, and hence, the balloon is unsuitable for carrying a load and a person. Further, the airship has a problem that, since the airship has a balloon which is an elongated elliptical body, the airship easily receives wind resistance and hence cannot quickly move or change its moving direction.', 'Further, it is also reported that the conventional drone, including the unmanned aerial vehicle described in Patent Literature 1, crashes at the rate of once every 20 flights due to troubles, such as battery exhaustion (the current average flight time is only about 20 minutes), drive source failure, and damage of the propeller. Therefore, the conventional drone has high risk of accident caused by falling and of damage of the vehicle body. Further, the conventional drone performs the vertical movement and the horizontal movement by a common propeller oriented only in the vertical direction, and hence has the problem that the horizontal mobility capability is low. Further, the conventional drone needs to have a propeller larger than the vehicle body, and hence has the problem of noise and the problem of high danger when in contact with a person, or the like.', 'The present invention has been made in order to solve the above-described problems. An object of the present invention is to provide a buoyant aerial vehicle which can reduce the risk of crashing to thereby secure high safety, and which can suppress the influence of wind to thereby facilitate the control of movement and exhibit high mobility capability.",2
"The first aspect of a method for recovering a metal from a target according to the present invention is a method for recovering a metal from a target that consists essentially of a CoCrPt-based metal or a CoCrPtRu-based metal, and one or more metal oxides selected from the group consisting of SiO2, Cr2O3 and CoO. The method includes: heating the target at a temperature of from 1400 to 1790° C. in an upper crucible of a two-level crucible that includes the upper crucible with a through hole formed in a bottom surface thereof, and a lower crucible disposed below the through hole; and causing the melted metal to flow into the lower crucible, so that the metal is separated from the metal oxide. Thus, the metal can be separated from the metal oxide with a small number of process steps and less contamination of impurities.', 'The second aspect of a method for recovering a metal from a target according to the present invention is a method for recovering a metal from a target that consists essentially of a CoCrPt-based metal or a CoCrPtRu-based metal, and one or more metal oxides selected from the group consisting of Sb2, Cr2O3, CoO and TiO2. The method includes: heating the target at a temperature of from 1400 to 1790° C. in an upper crucible of a two-level crucible that includes the upper crucible with a through hole formed in a bottom surface thereof, and a lower crucible disposed below the through hole; and causing the melted metal to flow into the lower crucible, so that the metal is separated from the metal oxide. Thus, the metal can be separated from the metal oxide with a small number of process steps and less contamination of impurities.', 'The third aspect of a method for recovering a metal from a target according to the present invention is a method for recovering a metal from a target that consists essentially of a CoCrPt-based metal or a CoCrPtRu-based metal, and one or more metal oxides selected from the group consisting of SiO2, Cr2O3, CoO, TiO2 and TaO5. The method includes: heating the target at a temperature of from 1400 to 1790° C. in an upper crucible of a two-level crucible that includes the upper crucible with a through hole formed in a bottom surface thereof, and a lower crucible disposed below the through hole; and causing the melted metal to flow into the lower crucible, so that the metal is separated from the metal oxide. Thus, the metal can be separated from the metal oxide with a small number of process steps and less contamination of impurities.', 'The method for manufacturing a target according to the present invention manufactures a target by using a metal that is recovered from a target by applying the aforementioned method for recovering a metal. Accordingly, a target can be manufactured with a small number of process steps while a recycling efficiency of the metal is kept at a high level.",1
"First Aspect of Invention', 'The present invention was developed in view of the aforementioned problem. In order to solve the aforementioned problem, the first aspect of the invention provides a hot runner nozzle which has a nozzle gate fitted to face a gate of a cavity of a metal mold for molding a molded product using a plurality of types of molten resins. The hot runner nozzle can include a first resin flow path and a plurality of second resin flow paths. The first resin flow path has a funnel section which continues with the nozzle gate at a centripetal position and which allows a first molten resin to be gathered at the centripetal position of the funnel section so as to feed the resin into the nozzle gate. The second resin flow paths have a plurality of corresponding discharge ports facing and communicating with the funnel section of the first resin flow path, each of the discharge ports being disposed around the centripetal position, and feeding a second molten resin different from the first molten resin into the funnel section.', 'Second Aspect of Invention', 'In the aforementioned invention, it is preferred to include a shut pin capable of opening and closing the aforementioned nozzle gate.', 'Third Aspect of Invention', 'Furthermore, in order to solve the aforementioned problem, the third aspect of the invention provides a metal mold having a gate of a cavity inside the metal mold for molding a molded product, wherein the hot runner nozzle of the aforementioned invention is fitted such that the nozzle gate of the hot runner nozzle faces the gate.', 'Fourth Aspect of Invention', 'Furthermore, in the aforementioned invention, it is preferred that the discharge ports of the second resin flow paths facing the aforementioned funnel section be disposed about the aforementioned centripetal position so as to be movable around the centripetal position.', 'Fifth Aspect of Invention', 'Furthermore, in order to solve the aforementioned problem, the fifth aspect of the invention provides a molding method using the metal mold of the aforementioned invention equipped with the hot runner nozzle, the molding method for molding a molded product having a first resin section made of a first molten resin and a second resin section made of a second molten resin in a circumferential direction of the molded product by feeding the first molten resin and the second molten resin through the hot runner nozzle into the cavity of the metal mold, the metal mold being equipped with a first injection device for feeding the aforementioned first molten resin into the aforementioned first resin flow path and a second injection device for feeding the aforementioned second molten resin into the aforementioned second resin flow paths, wherein",0
"As described above, according to the cap, the cap mold, and the securing structure part using the cap of the present invention, the structures thereof are simple and have improved productivity and low manufacturing cost, and it is possible to prevent the cap from falling off from the fastener.', 'According to the method for mounting a cap of the present invention, when the cap is mounted on the fastener using the filler, it is possible to easily prevent the filler, which protrudes from the cap, from being attached to the periphery of the cap.",1
"The present invention, in view of this situation, has as its task making up for the defects of the low surface hardness or internal hardness resulting from just induction hardening or soft nitriding by combining induction hardening and soft nitriding and providing a steel part for machine structure use excellent in contact fatigue strength (i) provided with a high surface hardness, internal hardness, and temper softening resistance unable to be obtained by a conventional soft nitrided and induction hardened steel part and, furthermore, (ii) formed with a sufficient lubricating film at its operating surface and a steel for machine structure use for surface hardening use used for said steel part.",2
"Introduction of new radio communication technologies has led to increases in the number of user equipments (UEs) to which a base station (BS) provides services in a prescribed resource region, and has also led to increases in the amount of data and control information that the BS transmits to the UEs. Due to typically limited resources available to the BS for communication with the UE(s), new techniques are needed by which the BS utilizes the limited radio resources to efficiently receive/transmit uplink/downlink data and/or uplink/downlink control information. In particular, overcoming delay or latency has become an important challenge in applications whose performance critically depends on delay/latency.', 'The technical objects that can be achieved through the present invention are not limited to what has been particularly described hereinabove and other technical objects not described herein will be more clearly understood by persons skilled in the art from the following detailed description.",2
"One aspect of the present invention is to provide a method and apparatus for mass production of truly spherical ceramic balls by introducing ceramic powders and water and/or a binder into a rotary chamber and rotating the rotary chamber.', 'Another aspect of the present invention is to provide a method and apparatus for producing truly spherical ceramic balls with uniform particle size distribution, which solve a conventional problem in that, when ceramic powder is formed into ceramic balls from the beginning, the ceramic balls have a non-uniform particle size distribution, making it difficult to obtain ceramic balls having a desired particle size.', 'A further aspect of the present invention is to provide a method and apparatus for producing truly spherical ceramic balls, which may improve strength of the ceramic balls and prevent ceramic powder from adhering to an inner wall of the rotary chamber during a formation process.",2
"According to the present invention, a method for manufacturing a filling planarization film, which can form a filling planarization film having excellent filling property (embeddability) into the recessed part and excellent heat resistance is provided.', 'According to the present invention, a method for manufacturing an electronic device using the method for manufacturing a filling planarization film is provided.",1
"In the guided-mode resonance filters disclosed in NPLs 1 and 2 and PTL 1, due to the presence of a substrate, the reduction in weight and thickness cannot be achieved. Further, the guided-mode resonance filters have large refractive index difference between the layers, which thus cause a problem of increased Fresnel reflection.', 'With that, an object of the present invention is to provide a polarizer having a diffraction grating, the polarizer reducing Fresnel reflection and exhibiting high reflection diffraction efficiency for TE polarized light as well as high transmission diffraction efficiency for TM polarized light, and an optical element having the polarizer.",2
